Number of Bills: 2804
89 	SB 	Hall 	Relating to the execution or enforcement of federal laws that violate the Bill of Rights of the Texas Constitution. 	01/24/2017 	S 	Referred to State Affairs 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB89
90 	SB 	Hall 	Relating to the repeal of the driver responsibility program. 	01/24/2017 	S 	Referred to Transportation 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB90
91 	SB 	Hall 	Relating to the use of automatic license plate readers by a law enforcement agency. 	03/21/2017 	S 	Scheduled for public hearing on  . . . 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB91
92 	SB 	Hall 	Relating to prohibition of certain regulations by a county, municipality, or other political subdivision. 	01/24/2017 	S 	Referred to Business &amp; Commerce 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB92
93 	SB 	Hall 	Relating to prohibiting public funds from being used to enforce certain federal or international laws regulating firearms, firearm accessories, and firearm ammunition within the State of Texas. 	01/24/2017 	S 	Referred to State Affairs 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB93
94 	SB 	Hall 	Relating to a ribbon for certain members of the military forces who served in support of operations to secure the Texas border. 	03/13/2017 	S 	Committee report printed and distributed: Mar 13 2017  2:13PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB94
95 	SB 	Hall 	Relating to the regulation of raw milk and raw milk products; adding a provision subject to a criminal penalty. 	01/24/2017 	S 	Referred to Health &amp; Human Services 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB95
96 	SB 	Hall 	Relating to Internet access to meetings of the board of directors of a regional mobility authority. 	01/24/2017 	S 	Referred to Business &amp; Commerce 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB96
97 	SB 	Hall 	Relating to the deadline for filing an application for an exemption from ad valorem taxation of the residence homestead of a 100 percent or totally disabled veteran. 	01/24/2017 	S 	Referred to Finance 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB97
98 	SB 	Hall 	Relating to removing the requirement for bilingual education and special language programs for certain students of limited English proficiency. 	01/24/2017 	S 	Referred to Education 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB98
99 	SB 	Hall 	Relating to the abolishment of the Music, Film, Television, and Multimedia Office in the office of the governor and other incentives for media productions. 	03/14/2017 	S 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB99
100 	SB 	Hall 	Relating to abolishing the Texas Enterprise Fund and the disposition of the balance of that fund. 	01/24/2017 	S 	Referred to Natural Resources &amp; Economic Development 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB100
101 	SB 	Hall 	Relating to commissioned security officers employed by the board of trustees of a school district. 	01/25/2017 	S 	Referred to Education 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB101
102 	SB 	Hall 	Relating to general officers within the state military department. 	03/13/2017 	S 	Committee report printed and distributed: Mar 13 2017  2:12PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB102
